accuracy,precision,recall,f1_score,eer,model,dataset
0.6560495248255822,0.9949972346523204,0.6195641964872735,0.7636311016785645,16.729282113897522,WavLM Baseline,ASVspoof19 LA
0.5404635231691396,0.9999036979969184,0.4876021414482953,0.6555338089525854,16.0342506496339,SI-Detector (n=1),ASVspoof19 LA
0.5562137653185845,0.9996283909327388,0.505306659152813,0.6712832990205253,15.83544660466138,SI-Detector (n=5),ASVspoof19 LA
0.572160534553673,0.9997606223818073,0.5230268307191384,0.6867690283858502,15.594833446609602,SI-Detector (n=10),ASVspoof19 LA
0.5668402655923186,0.9997881291806653,0.5170783632322093,0.6816273047120851,15.519238596162946,SI-Detector (n=16),ASVspoof19 LA
0.9517526004744725,0.9997354366122658,0.9464481387558311,0.9723622737397374,0.8157715840684551,AASIST,ASVspoof19 LA
0.7684512640807547,0.9948807926514605,0.7634840029509339,0.8639567533792825,15.485657065393585,WavLM Baseline,ASVspoof21 DF
0.6189539107941012,0.9983019410120432,0.6053442680823908,0.7536779052387346,14.048418448382375,SI-Detector (n=1),ASVspoof21 DF
0.6297935585382384,0.9982416100990193,0.6166569358262388,0.7623669165485801,14.207479621821454,SI-Detector (n=5),ASVspoof21 DF
0.6555785830876216,0.9979125663505696,0.6436928313124867,0.7825865657495258,14.110397516121273,SI-Detector (n=10),ASVspoof21 DF
0.6697067367517232,0.9978804258354826,0.658415819178355,0.7933608012412368,14.007186192969566,SI-Detector (n=16),ASVspoof21 DF
0.892442538316869,0.9899645263481112,0.8974075230711438,0.9414165201733468,16.940714288947127,AASIST,ASVspoof21 DF
0.9076051670598466,0.9855328858842793,0.8971362477540464,0.9392593307904012,7.7163033171862505,WavLM Baseline,ASVspoof5 Eval
0.8791919197854207,0.9926759078510068,0.854589493180049,0.9184715964570539,7.203939778514201,SI-Detector (n=1),ASVspoof5 Eval
0.8799924791487337,0.9928975508648414,0.8554085514106617,0.9190393892427768,7.059010152389303,SI-Detector (n=5),ASVspoof5 Eval
0.8906994097894455,0.9919177214790443,0.8698232383791502,0.9268669522835096,6.904808462132908,SI-Detector (n=10),ASVspoof5 Eval
0.8950679667554872,0.9914214176378827,0.8758001497917305,0.9300310592162421,7.033773650186245,SI-Detector (n=16),ASVspoof5 Eval
0.7979182518721338,0.8148047266546715,0.9657120825846821,0.8838633428163807,35.840094491799896,AASIST,ASVspoof5 Eval
0.6002,0.564412445358704,0.878,0.6871184848959149,40.92000000009819,AASIST,WaveFake
0.7866830296736839,0.8910107126222636,0.4856973595125254,0.6286903653393219,14.852477082547155,WavLM Baseline,In-The-Wild
0.7306082633185437,0.9850968703427719,0.27970548408937035,0.4356996901984049,9.766418415704122,SI-Detector (n=1),In-The-Wild
0.7267063154913622,0.9854263565891472,0.26895734597156395,0.4225782860182169,9.927217332430605,SI-Detector (n=5),In-The-Wild
0.7361465118474464,0.9839210155148096,0.29519295870006773,0.4541371004491895,10.12873816560698,SI-Detector (n=10),In-The-Wild
0.7378142798703546,0.9855072463768116,0.2992552471225457,0.4591015320695923,9.738015328397994,SI-Detector (n=16),In-The-Wild
0.5599609805217282,0.4419389394750937,0.6982904536222072,0.5412976448205734,43.51550368179249,AASIST,In-The-Wild
