accuracy,precision,recall,f1_score,eer,model,dataset
0.9792383171666409,0.9953798523457966,0.981403212172443,0.9883421220648395,2.6204564666102588,WavLM Baseline,ASVspoof19 LA
0.9802771031907576,0.9962036375188627,0.9817475971322125,0.9889227906683381,2.476440937979396,SI-Detector (n=1),ASVspoof19 LA
0.9777222510773895,0.9959082297123024,0.9791803637957485,0.9874734590460253,2.690898844744991,SI-Detector (n=5),ASVspoof19 LA
0.9785785476648371,0.9959595316874523,0.9800882877805954,0.9879601723131302,2.706552706552712,SI-Detector (n=10),ASVspoof19 LA
0.9805157432233249,0.9958267216756586,0.9823894054663286,0.9890624261240958,2.4473147518834786,SI-Detector (n=16),ASVspoof19 LA
0.8614343669722195,0.9900023587901221,0.8541060079521618,0.9170469347451573,12.139569831870935,RawNet2,ASVspoof19 LA
0.9517526004744725,0.9997354366122658,0.9464481387558311,0.9723622737397374,0.8157715840684551,AASIST,ASVspoof19 LA
0.3981560149784449,0.38169223797501134,0.997968855788761,0.5521891828611566,22.216099784769057,WavLM Baseline,In-The-Wild
0.417823090720287,0.3895661942049096,0.9978842247799594,0.5603687950003564,19.671392075238614,SI-Detector (n=1),In-The-Wild
0.42518644387803267,0.3925656996302834,0.9974610697359513,0.5633977867539856,20.297550468381605,SI-Detector (n=5),In-The-Wild
0.42849051260266213,0.3939576231535325,0.9976303317535545,0.564856964876132,20.937711577513884,SI-Detector (n=10),In-The-Wild
0.47459013814154,0.41413643879956374,0.9961916046039269,0.5850543005541887,19.507447528775284,SI-Detector (n=16),In-The-Wild
0.5641146669184053,0.4402582159624413,0.6349018280297901,0.5199611865816468,40.6144211238998,RawNet2,In-The-Wild
0.5599609805217282,0.4419389394750937,0.6982904536222072,0.5412976448205734,43.51550368179249,AASIST,In-The-Wild
