model,dataset,accuracy,precision,recall,f1_score,eer
WavLM Frozen,ASVspoof19_LA_eval,0.9792383171666409,0.9953798523457966,0.981403212172443,0.9883421220648395,2.6204564666102588
SI Detector (n=1),ASVspoof19_LA_eval,0.9802771031907576,0.9962036375188627,0.9817475971322125,0.9889227906683381,2.476440937979396
SI Detector (n=5),ASVspoof19_LA_eval,0.9777222510773895,0.9959082297123024,0.9791803637957485,0.9874734590460253,2.690898844744991
SI Detector (n=10),ASVspoof19_LA_eval,0.9785785476648371,0.9959595316874523,0.9800882877805954,0.9879601723131302,2.706552706552712
SI Detector (n=16),ASVspoof19_LA_eval,0.9805157432233249,0.9958267216756586,0.9823894054663286,0.9890624261240958,2.4473147518834786
RawNet2 Frozen,ASVspoof19_LA_eval,0.8614343669722195,0.9900023587901221,0.8541060079521618,0.9170469347451573,12.139569831870935
AASIST Frozen,ASVspoof19_LA_eval,0.9517526004744725,0.9997354366122658,0.9464481387558311,0.9723622737397374,0.8157715840684551
