dataset,model,attack_type,n_bonafide,n_spoof,eer
ASVspoof19 LA,SI-Detector (n=5),A18,7355,4914,39.728076138731325
ASVspoof19 LA,SI-Detector (n=10),A18,7355,4914,38.99388171314004
ASVspoof19 LA,SI-Detector (n=16),A18,7355,4914,38.58599592114368
ASVspoof19 LA,AASIST,A18,7355,4914,2.651257647967208
ASVspoof19 LA,WavLM Baseline,A19,7355,4914,45.98232494898116
ASVspoof19 LA,SI-Detector (n=1),A19,7355,4914,43.264143264143264
ASVspoof19 LA,SI-Detector (n=5),A19,7355,4914,42.92318150934062
ASVspoof19 LA,SI-Detector (n=10),A19,7355,4914,42.16179469748959
ASVspoof19 LA,SI-Detector (n=16),A19,7355,4914,42.10740992529971
ASVspoof19 LA,AASIST,A19,7355,4914,0.6662134601321107
ASVspoof19 LA,WavLM Baseline,Overall,7355,63882,16.729282113897522
ASVspoof19 LA,SI-Detector (n=1),Overall,7355,63882,16.0342506496339
ASVspoof19 LA,SI-Detector (n=5),Overall,7355,63882,15.83544660466138
ASVspoof19 LA,SI-Detector (n=10),Overall,7355,63882,15.594833446609602
ASVspoof19 LA,SI-Detector (n=16),Overall,7355,63882,15.519238596162946
ASVspoof19 LA,AASIST,Overall,7355,63882,0.8157715840684551
