layer,dataset,precision,recall,f1_score,eer
23,ASVspoof21_DF,0.9864360792642322,0.992226642588494,0.9893228878745282,8.564528479722448
24,ASVspoof21_DF,0.9880724318835674,0.9909367404852748,0.9895025133633649,8.33706726047423
0,WaveFake,0.5,1.0,0.6666666666666666,53.52000000000019
1,WaveFake,0.5001000200040008,1.0,0.6667555674089879,39.2
2,WaveFake,0.5030438311688312,0.9916,0.6674744211093161,35.88
3,WaveFake,0.5454545454545454,0.96,0.6956521739130435,28.92000000002654
4,WaveFake,0.5415397999130056,0.996,0.7016060862214708,17.879999999956837
5,WaveFake,0.8700878409616274,0.7528,0.8072056615912503,15.84000000000001
6,WaveFake,0.8910939012584704,0.7364,0.806395094174332,14.919999999994458
7,WaveFake,0.9788461538461538,0.8144,0.8890829694323145,6.799999999880052
8,WaveFake,0.9861963190184049,0.7716,0.8657989228007181,5.3599999999996495
9,WaveFake,0.9846461949265688,0.59,0.7378689344672336,7.680000000000008
10,WaveFake,0.9845430107526881,0.586,0.734704112337011,7.520000000024092
11,WaveFake,0.9486788617886179,0.7468,0.8357206803939122,10.039999999999994
12,WaveFake,0.8186046511627907,0.5632,0.6672985781990521,20.719999999999867
13,WaveFake,0.4536741214057508,0.1704,0.2477464379179994,29.71999999986357
14,WaveFake,0.699724517906336,0.508,0.5886442641946698,27.720000000095467
15,WaveFake,0.7256515775034293,0.4232,0.5346134411318848,28.119999999996857
16,WaveFake,0.8286852589641435,0.3328,0.4748858447488584,24.400000000000357
17,WaveFake,0.8738207547169812,0.2964,0.44265232974910396,23.439999999971878
18,WaveFake,0.5107632093933464,0.2088,0.29642248722316866,32.44000000004751
19,WaveFake,0.7659115426105717,0.284,0.4143565800992121,30.040000000000017
20,WaveFake,0.9269195189639223,0.4008,0.5596202178162525,21.560000000000002
21,WaveFake,0.8694347173586794,0.6952,0.7726161369193154,19.160000000012715
22,WaveFake,0.7371967654986523,0.8752,0.8002926115581566,19.92000000012764
23,WaveFake,0.5465372739303044,0.9912,0.704577765140745,20.760000000039305
24,WaveFake,0.5369886858137511,0.9872,0.6956031567080045,23.28000000000198
0,In-The-Wild,0.37321919322740627,0.9999153689911984,0.5435557702482,41.687121174137545
1,In-The-Wild,0.37180538903262444,0.997291807718348,0.5416685819351873,43.9150304671632
2,In-The-Wild,0.37631951596292484,0.9895903859174001,0.5452807312068644,32.735274204437694
3,In-The-Wild,0.3837974020874914,0.9927217332430602,0.5535760636164138,27.0396073121225
4,In-The-Wild,0.38425232732243997,0.9990690589031821,0.5550331468334195,28.622207176709146
5,In-The-Wild,0.3870173364854216,0.9975457007447529,0.5576741105223315,28.928517757916783
6,In-The-Wild,0.39456100494454094,0.9994922139471902,0.5657756060170547,26.609227070110936
7,In-The-Wild,0.38922412371813897,0.9989844278943805,0.5601879315663336,29.419425938077993
8,In-The-Wild,0.4022753593569044,0.9994922139471902,0.5736629912080439,24.500677048070937
9,In-The-Wild,0.4554669968273621,0.9962762356127285,0.6251393978014975,21.54485798736196
10,In-The-Wild,0.44293662130666867,0.9972071767095464,0.6134103805507835,21.169162951548333
11,In-The-Wild,0.4299310797505743,0.9977995937711578,0.6009327454828105,23.01963439404193
12,In-The-Wild,0.45533845080251223,0.9939911983750847,0.6245679340600904,19.71902505078948
13,In-The-Wild,0.44299724180202266,0.9786729857819905,0.609915611814346,20.853579121286273
14,In-The-Wild,0.43424207769210904,0.9961916046039269,0.604835187421319,23.663777989355513
15,In-The-Wild,0.40791839557399723,0.9983920108327691,0.5791928515318147,24.87602063804057
16,In-The-Wild,0.4079029247044182,0.9985612728503723,0.5792057336409602,21.77555856464148
17,In-The-Wild,0.42741701695897955,0.9982227488151659,0.5985486653811022,19.61746784021682
18,In-The-Wild,0.44035972305839854,0.9904366960054164,0.6096582621379454,20.07213344681898
19,In-The-Wild,0.4155162698971686,0.9985612728503723,0.5868397493285586,21.047731888964112
20,In-The-Wild,0.4266507643933644,0.9990690589031821,0.5979485880714195,18.84987226362041
21,In-The-Wild,0.4138632616550321,0.9984766418415707,0.5851747141829725,19.420928718124333
22,In-The-Wild,0.43676628522756733,0.9981381178063643,0.6076405883716737,15.580568720370419
23,In-The-Wild,0.38935980738150994,0.9990690589031821,0.5603417586329654,20.80230196341585
24,In-The-Wild,0.3939576231535325,0.9976303317535545,0.564856964876132,20.937711577513884
