attack_type,AASIST,RawNet2,SI Layer 0,SI Layer 1,SI Layer 10,SI Layer 11,SI Layer 12,SI Layer 13,SI Layer 14,SI Layer 15,SI Layer 16,SI Layer 17,SI Layer 18,SI Layer 19,SI Layer 2,SI Layer 20,SI Layer 21,SI Layer 22,SI Layer 23,SI Layer 24,SI Layer 3,SI Layer 4,SI Layer 5,SI Layer 6,SI Layer 7,SI Layer 8,SI Layer 9,Speaker Invariant (n=10),WavLM Frozen
A07,0.47586675731496547,1.8925518925521456,1.4041514041508554,0.1831501831442891,0.14245014245014645,0.22385022381832606,0.28490028490027314,0.2849002849001046,0.32560032560032137,0.5494505494505454,0.3942895988274709,0.5030591433502852,0.7326007325817386,0.8547008546801281,0.02719238616150667,0.8750508750510151,0.6715506715347456,0.7529507529507733,1.0469068662335883,1.2820512820512777,0.12236573771143743,0.05438477217629115,0.054384772347245966,0.08157715843894212,0.08157715848794184,0.09517335142392615,0.10175010174986901,1.2916383413342563,0.9109449353969349
A08,0.4070004070004009,5.555555555541116,13.990482664899478,4.131054131054119,0.26455026451920505,0.2442002441927524,0.32630863350434164,0.3535010197234169,0.44867437118221176,0.6512006512006165,0.6715506715509556,0.8021753907899443,0.875050875050875,1.1012916384225253,0.6254248810361247,1.4855514855514944,1.3732154996993615,0.8750508750509934,1.3431013431031569,1.1828687968230664,0.9789259006638694,0.6512006512011017,0.13596193075431467,0.31271244059441733,0.21753908896706298,0.3535010197445025,0.2447314752401772,1.1828687967700313,2.0122365737473555
A09,0.0,0.5982324949918516,0.040700040699736935,0.18315018314972,0.0,0.0,0.02719238622276895,0.040788579215076046,0.08140008140008498,0.08140008140008205,0.0814000814000757,0.1017501017987359,0.10876954455702388,0.1017501017500976,0.02035002034985255,0.12210012209759528,0.02719238619697242,0.027192386229379376,0.04078857934265445,0.06798096542777071,0.02035002035043149,0.0,0.0,0.0,0.0,0.02035002034985255,0.0,0.06798096542777071,0.040788579203035046
A10,0.7885791978051335,2.1367521367516953,5.901505901503283,2.2181522181343576,1.7539089055452106,2.2181522181493585,2.624065261627379,2.637661454892325,2.5030525030664528,2.6240652617729405,2.7676027676028565,3.630183548654722,5.0169952414290275,6.105006105006104,1.5363698165906496,7.192386131901318,5.5148555148574845,6.593406593406599,6.145479265786112,7.355540448752317,1.159951159951156,1.2413512413512258,1.332426920385581,1.8762746431347295,1.6859279400800797,1.4819850443221785,1.1803011803014176,7.366707366698562,7.518694765565572
A11,0.1631543168691377,3.698164513804294,0.25832766837388804,0.0,0.08140008140004641,0.16280016280015616,0.20350020354408171,0.24420024419443515,0.31271244061291115,0.5494505494170804,0.5494505494505477,0.8293677768536364,1.128484024275733,1.577158395722824,0.0,1.713120326351086,0.8701563561873347,0.7205982325795103,0.8837525493017852,1.0469068661347973,0.10175010175009769,0.013596193159648304,0.013596193156961879,0.01359619311295279,0.04078857913297846,0.09517335134929868,0.08140008139909025,1.0469068660782062,1.5262515262889933
A12,0.6798096531506869,2.501699524119023,2.91005291005292,1.282051282051277,0.04078857922261871,0.06105006105006129,0.06798096526585631,0.09517335137561075,0.16315431673376443,0.1631543169444068,0.12210012209989125,0.16280016275463613,0.09517335146702247,0.14955812390217735,0.5291005290970562,0.20350020349908815,0.12210012206974057,0.08140008139983142,0.2719238612777753,0.3942895989575288,0.12236573764689432,0.14245014241591597,0.1424501424504993,0.142450142450146,0.10876954460294044,0.08157715840939535,0.04070004070003752,0.3942895989575288,0.3263086335794523
A13,0.12236573768111648,0.8343508343494689,4.761904761906308,0.4680504680514454,0.0,0.0,0.02035002034985255,0.020350020374440888,0.04070004069956626,0.05438477222896194,0.02719238619496435,0.013596193224245759,0.02719238620125236,0.013596193079237361,0.02719238613681429,0.02035002034985255,0.013596192912984438,0.013596192912984438,0.0,0.0,0.013596192912984438,0.0,0.0,0.0,0.0,0.0,0.013596192912984438,0.0,0.0
A14,0.16280016279870282,0.7529507529556267,2.950752950749648,4.09035409038022,0.06798096537733214,0.20350020350020448,0.13596193057149564,0.10876954455721229,0.14245014244199072,0.2311352821454235,0.17675050996000924,0.22385022385021683,0.3535010198250059,0.4070004070004012,1.2644459550335934,0.7529507529526891,0.5087505087520321,0.529100529100521,0.5302515297368087,1.0785510785521244,1.196464989758558,1.4855514855493879,0.25832766835233273,0.31271244056522,0.1495581237502447,0.08157715846076058,0.06798096527234933,1.0785510785521244,1.862678449892109
A15,0.5291005290872562,1.7908017908017837,32.45411284834191,12.047212047215746,0.12236573773777042,0.3663003663001672,0.3459503459504869,0.5030591433558702,0.5494505494505482,0.6254248809707736,0.48840048843873324,0.5087505087491062,0.752950752950753,0.9768009768009557,5.860805860805862,1.3227513227515328,1.0582010582010564,0.8547008547008513,0.9245411284861217,1.33242692056163,2.7192386131391815,2.3809523809523867,0.9517335146992368,0.7885791978733958,0.7529507529788892,0.36709721285149177,0.18315018314686848,1.3324269205448764,1.3431013431255352
A16,0.6512006511998885,2.5016995241514715,1.0061182869749354,0.0814000813999528,0.06798096516179714,0.10876954455110262,0.06798096533921298,0.1631543168590813,0.22385022383951872,0.27192386142837227,0.25832766826478126,0.2849002848763341,0.421481985094519,0.3663003663003563,0.02719238610391549,0.3806934057387026,0.3052503052503076,0.3942895990281786,0.5698005698003861,0.6512006512003136,0.04078857925166154,0.020350020350028863,0.027192386194499332,0.08140008139688198,0.04078857921214434,0.04078857922265129,0.061050061025011405,0.6512006512002866,0.7122507122809002
A17,1.282051282051278,35.18518518518565,20.065120065153845,4.314204314236146,0.10876954471459774,0.21753908913768813,0.28552005447970596,0.38069340591673567,0.671550671551002,0.6308506308868005,0.5494505494600596,0.7936507936507908,0.8429639700236408,0.9245411283927196,1.3868116926399408,0.9768009768341872,0.8140008140016572,1.019714480044565,1.505901505901521,1.8111518111518121,0.7477906186631317,0.6715506715506687,0.3263086335576348,0.16315431680275305,0.13596193073730176,0.19034670290350106,0.14245014244993418,1.8111518111518121,1.0378510378510346
A18,2.651257647967208,33.29263329263329,2.7600271923537423,0.3263086335860109,0.09517335138830779,0.10876954445602335,0.12210012209961074,0.21753908898975075,0.32560032560032953,0.3806934059249003,0.38069340580150307,0.3535010197213607,0.28552005446737816,0.39428959892048465,0.020350020350021297,0.625424881011343,0.5574439158347374,0.42148198511661866,0.9925220938257401,0.9564509564134382,0.6105006105068385,1.101291638437004,0.1424501424501992,0.1495581237997017,0.12210012210011774,0.09517335161108993,0.08157715844239276,0.9564509564104559,0.9109449353653513
A19,0.6662134601321107,18.055744391710384,0.9768009768009456,0.2645502645502674,0.26455026455025593,0.5087505087508197,0.734194425717029,1.155676410514943,1.672331747204144,1.7403127123272066,2.0553520553608577,2.637661454778706,2.923181509138919,3.1679129841819864,0.09517335158534419,2.971102971102966,3.3781033780575656,3.426240652659994,4.721204721203446,5.166553365102107,0.22385022390008272,0.284900284894887,0.13596193063377013,0.12210012210049366,0.19034670279385638,0.1903467029359685,0.1831501831978794,5.166553365102107,5.125764785839794
Overall,0.8157715840684551,12.139569831870935,10.02039428962216,3.6573759347367134,0.5710401086181134,0.6934058464634743,0.7983469521679702,0.8813124197736798,0.9381373216451567,0.9642778873539666,1.0049779280548505,1.2508497620624286,1.5771583956668538,1.9306594154258037,1.6123477661939012,2.105444413143155,1.7610594533667863,1.898813437274984,2.2275445352367766,2.7065527065510286,0.9940202247914464,0.9381373216298369,0.5302515295018702,0.5604082527161004,0.5438477225380373,0.48946295052090405,0.40788579200774316,2.706552706552712,2.6204564666102588
