layer,dataset,precision,recall,f1_score,eer
0,ASVspoof19_LA,0.9985769063525319,0.7908644062490217,0.8826653621719837,10.02039428962216
1,ASVspoof19_LA,0.9998147908062156,0.8450424219654988,0.9159363732767762,3.6567421182805635
2,ASVspoof19_LA,0.999948092395536,0.9046679815910585,0.9499248009073202,1.6123477662161663
3,ASVspoof19_LA,0.9998800856531049,0.9136846059922983,0.9548410315973728,0.9940202247918513
4,ASVspoof19_LA,0.9999310059334897,0.907485676716446,0.9514681022173349,0.9381373216298369
5,ASVspoof19_LA,0.999934290501692,0.9528505682351837,0.975824810029177,0.5302515295018702
6,ASVspoof19_LA,0.9999024295053176,0.9625246548323472,0.9808575803981623,0.5604082527161004
7,ASVspoof19_LA,0.9998711713742794,0.9719482796405874,0.9857120177806001,0.5438477226015968
8,ASVspoof19_LA,0.9998721329816991,0.979258633104787,0.9894580338007228,0.48946295034740395
9,ASVspoof19_LA,0.999904484454845,0.9832347140039448,0.9914995382757559,0.4101311793619524
10,ASVspoof19_LA,0.999856918014022,0.9845026768103691,0.9921203946901398,0.5710401086181134
11,ASVspoof19_LA,0.9995725683890577,0.9884004884004884,0.9939551357733176,0.6934058464003104
12,ASVspoof19_LA,0.9993360628527166,0.9895901818978742,0.9944392446181798,0.7983469521679702
13,ASVspoof19_LA,0.9989433176670978,0.9914999530384145,0.9952077179309912,0.881312419773683
14,ASVspoof19_LA,0.9987392839132627,0.9920791459252998,0.9953980744161208,0.9381373216358759
15,ASVspoof19_LA,0.9989102624846016,0.9900911054757209,0.9944811320754717,0.9642778873539666
16,ASVspoof19_LA,0.9988939276628691,0.9895901818978742,0.9942202895359719,1.006118286791281
17,ASVspoof19_LA,0.9986224368616895,0.9872577564885258,0.9929075781071657,1.2508497620624286
18,ASVspoof19_LA,0.9983925899990451,0.9820137127829436,0.9901354209413176,1.5771583956541884
19,ASVspoof19_LA,0.9984312972211551,0.9763939763939764,0.9872896782056761,1.9306594154090337
20,ASVspoof19_LA,0.9981703500409264,0.9735606274067813,0.9857119083279842,2.105444413143155
21,ASVspoof19_LA,0.9981998056427331,0.9808396731473654,0.9894435978618745,1.7610594533667905
22,ASVspoof19_LA,0.9977554204208985,0.9811370965217119,0.9893764798737175,1.898813437274984
23,ASVspoof19_LA,0.9965880056496279,0.9830312138004446,0.9897631900390086,2.2275445352367766
24,ASVspoof19_LA,0.9959595316874523,0.9800882877805954,0.9879601723131302,2.7065527065500237
0,WaveFake,0.8669929381333451,1.0,0.9287586690072658,53.88064382156752
1,WaveFake,0.867016468617033,0.9999830484052787,0.9287648586947965,39.13868947221209
2,WaveFake,0.8683878813044058,0.992651483688328,0.9263710752267164,36.01657458557617
3,WaveFake,0.8874515181194907,0.9599772848630735,0.9222908048597765,28.994475138074264
4,WaveFake,0.8850161885400196,0.9962367459718773,0.9373387614486848,17.861878453022197
5,WaveFake,0.9765056830553499,0.7602281684649483,0.8549002787904783,16.298342541559713
6,WaveFake,0.9801598919040648,0.7378012086487036,0.8418853636244941,15.022099447327669
7,WaveFake,0.9960462067328041,0.8177957841383928,0.8981624560162345,6.602209944668862
8,WaveFake,0.9974413279293033,0.7863760033225126,0.8794218009478673,5.2762430940112335
9,WaveFake,0.9974585604156666,0.5987811803395404,0.7483329714155575,7.599399913542279
10,WaveFake,0.9973394146712277,0.6004932914063891,0.74963495926357,7.425414364580719
11,WaveFake,0.9902942535818826,0.7627539560784181,0.8617570873851487,10.747311053285777
12,WaveFake,0.9648871941531617,0.5662086910826136,0.7136424576827959,21.376808523261825
13,WaveFake,0.8413945905271518,0.1705923734775349,0.28367065058067426,29.972375690527397
14,WaveFake,0.937953488372093,0.5127687887237992,0.6630535447137541,28.099447513892816
15,WaveFake,0.9443470127440664,0.4107540916911758,0.5724951417888848,28.51381215475574
16,WaveFake,0.9700547440651883,0.3259113601112025,0.4879014350788595,24.86740331485808
17,WaveFake,0.9780910278866739,0.2981700753498385,0.4570185125040598,24.056008068944138
18,WaveFake,0.8674698795180723,0.20748751938838647,0.33487684931225764,32.64640883975397
19,WaveFake,0.9509815765629719,0.2668774314943678,0.41678965934887785,30.320441988837267
20,WaveFake,0.9867165363255128,0.368942983311155,0.5370701674295797,22.80921827720945
21,WaveFake,0.9761294873222705,0.6685878474017444,0.7936054408080727,20.65193370167748
22,WaveFake,0.9474061789587448,0.8618784062110643,0.9026207753589419,20.66298342536371
23,WaveFake,0.887179214545565,0.9900917928854157,0.9358146539983657,21.132596685054875
24,WaveFake,0.883952003155292,0.9877863760033225,0.9329890923646552,23.844113134943147
